datekey|data|ano|mes|trimestre|inicio_semana|range_semana|ano_mes|mes_ano|numero_semana|ano_mes_semana|dia_da_semana|dia_da_semana_completo|mes_texto|mes_texto_completo
0|2019-01-01 00:00:00|2019|1|1|2018-12-31 00:00:00|(31/12 A 06/01)|2019/01|01/2019|5|2018/12 5|TER|TERÇA-FEIRA|JAN|JANEIRO
1|2019-01-02 00:00:00|2019|1|1|2018-12-31 00:00:00|(31/12 A 06/01)|2019/01|01/2019|5|2018/12 5|QUA|QUARTA-FEIRA|JAN|JANEIRO
2|2019-01-03 00:00:00|2019|1|1|2018-12-31 00:00:00|(31/12 A 06/01)|2019/01|01/2019|5|2018/12 5|QUI|QUINTA-FEIRA|JAN|JANEIRO
3|2019-01-04 00:00:00|2019|1|1|2018-12-31 00:00:00|(31/12 A 06/01)|2019/01|01/2019|5|2018/12 5|SEX|SEXTA-FEIRA|JAN|JANEIRO
4|2019-01-05 00:00:00|2019|1|1|2018-12-31 00:00:00|(31/12 A 06/01)|2019/01|01/2019|5|2018/12 5|SAB|SÁBADO|JAN|JANEIRO
5|2019-01-06 00:00:00|2019|1|1|2018-12-31 00:00:00|(31/12 A 06/01)|2019/01|01/2019|5|2018/12 5|DOM|DOMINGO|JAN|JANEIRO
6|2019-01-07 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|SEG|SEGUNDA-FEIRA|JAN|JANEIRO
7|2019-01-08 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|TER|TERÇA-FEIRA|JAN|JANEIRO
8|2019-01-09 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|QUA|QUARTA-FEIRA|JAN|JANEIRO
9|2019-01-10 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|QUI|QUINTA-FEIRA|JAN|JANEIRO
10|2019-01-11 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|SEX|SEXTA-FEIRA|JAN|JANEIRO
11|2019-01-12 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|SAB|SÁBADO|JAN|JANEIRO
12|2019-01-13 00:00:00|2019|1|1|2019-01-07 00:00:00|(07/01 A 13/01)|2019/01|01/2019|1|2019/01 1|DOM|DOMINGO|JAN|JANEIRO
13|2019-01-14 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|SEG|SEGUNDA-FEIRA|JAN|JANEIRO
14|2019-01-15 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|TER|TERÇA-FEIRA|JAN|JANEIRO
15|2019-01-16 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|QUA|QUARTA-FEIRA|JAN|JANEIRO
16|2019-01-17 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|QUI|QUINTA-FEIRA|JAN|JANEIRO
17|2019-01-18 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|SEX|SEXTA-FEIRA|JAN|JANEIRO
18|2019-01-19 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|SAB|SÁBADO|JAN|JANEIRO
19|2019-01-20 00:00:00|2019|1|1|2019-01-14 00:00:00|(14/01 A 20/01)|2019/01|01/2019|2|2019/01 2|DOM|DOMINGO|JAN|JANEIRO
20|2019-01-21 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|SEG|SEGUNDA-FEIRA|JAN|JANEIRO
21|2019-01-22 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|TER|TERÇA-FEIRA|JAN|JANEIRO
22|2019-01-23 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|QUA|QUARTA-FEIRA|JAN|JANEIRO
23|2019-01-24 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|QUI|QUINTA-FEIRA|JAN|JANEIRO
24|2019-01-25 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|SEX|SEXTA-FEIRA|JAN|JANEIRO
25|2019-01-26 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|SAB|SÁBADO|JAN|JANEIRO
26|2019-01-27 00:00:00|2019|1|1|2019-01-21 00:00:00|(21/01 A 27/01)|2019/01|01/2019|3|2019/01 3|DOM|DOMINGO|JAN|JANEIRO
27|2019-01-28 00:00:00|2019|1|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/01|01/2019|4|2019/01 4|SEG|SEGUNDA-FEIRA|JAN|JANEIRO
28|2019-01-29 00:00:00|2019|1|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/01|01/2019|4|2019/01 4|TER|TERÇA-FEIRA|JAN|JANEIRO
29|2019-01-30 00:00:00|2019|1|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/01|01/2019|4|2019/01 4|QUA|QUARTA-FEIRA|JAN|JANEIRO
30|2019-01-31 00:00:00|2019|1|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/01|01/2019|4|2019/01 4|QUI|QUINTA-FEIRA|JAN|JANEIRO
31|2019-02-01 00:00:00|2019|2|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/02|02/2019|4|2019/01 4|SEX|SEXTA-FEIRA|FEV|FEVEREIRO
32|2019-02-02 00:00:00|2019|2|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/02|02/2019|4|2019/01 4|SAB|SÁBADO|FEV|FEVEREIRO
33|2019-02-03 00:00:00|2019|2|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/02|02/2019|4|2019/01 4|DOM|DOMINGO|FEV|FEVEREIRO
34|2019-02-04 00:00:00|2019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|SEG|SEGUNDA-FEIRA|FEV|FEVEREIRO
35|2019-02-05 00:00:00|2019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|TER|TERÇA-FEIRA|FEV|FEVEREIRO
36|2019-02-06 00:00:00|2019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|QUA|QUARTA-FEIRA|FEV|FEVEREIRO
